48  1 9 56374.35 16.70 0.07
48  1 10 56374.35 16.14 0.05
48  1 11 56374.35 16.02 0.03
48  1 9 56379.37 16.70 0.09
48  1 10 56379.37 15.94 0.02
48  1 11 56379.37 15.79 0.07
48  1 9 56381.46 16.70 0.06
48  1 10 56381.46 15.97 0.01
48  1 11 56381.46 15.78 0.01
48  1 9 56384.37 16.71 0.07
48  1 10 56384.37 15.90 0.04
48  1 11 56384.37 15.70 0.04
48  1 9 56394.5 17.11 0.10
48  1 10 56394.5 16.07 0.04
48  1 11 56394.5 15.74 0.04
48  1 9 56396.41 17.14 0.06
48  1 10 56396.41 16.08 0.02
48  1 11 56396.41 15.73 0.04
48  1 9 56400.42 17.16 0.07
48  1 10 56400.42 16.06 0.01
48  1 11 56400.42 15.60 0.01
48  1 9 56410.4 17.26 0.05
48  1 10 56410.4 16.07 0.03
48  1 11 56410.4 15.61 0.02
48  1 9 56423.43 17.43 0.06
48  1 10 56423.43 16.05 0.03
48  1 11 56423.43 15.54 0.04
48  1 9 56431.38 17.53 0.05
48  1 10 56431.38 16.07 0.01
48  1 11 56431.38 15.51 0.05
48  1 9 56456.43 17.80 0.07
48  1 10 56456.43 16.25 0.03
48  1 11 56456.43 15.70 0.03
48  1 9 56463.41 17.87 0.06
48  1 10 56463.41 16.28 0.04
48  1 11 56463.41 15.76 0.02
48  1 10 56588.76 18.78 0.04
48  1 11 56588.76 18.28 0.07
48  1 10 56593.76 18.84 0.06
48  1 11 56593.76 18.30 0.04
48  1 10 56644.78 19.26 0.08
48  1 11 56644.78 18.62 0.07
48  1 10 56653.74 19.43 0.06
48  1 11 56653.74 18.68 0.06
48  1 13 56374.32 17.80 0.20
48  1 14 56374.32 18.30 0.20
48  1 15 56374.32 17.30 0.20
48  1 16 56374.32 16.70 0.20
48  1 13 56379.36 19.00 0.15
48  1 14 56379.36 19.40 0.20
48  1 15 56379.36 17.90 0.20
48  1 16 56379.36 17.89 0.18
48  1 17 56379.36 16.99 0.12
48  1 18 56379.36 16.38 0.07
48  1 13 56380.76 19.26 0.18
48  1 15 56380.76 18.29 0.27
48  1 16 56380.76 17.95 0.17
48  1 17 56380.76 17.04 0.09
48  1 18 56380.76 16.36 0.06
48  1 13 56381.13 19.40 0.13
